ep1,econviol,emotvio,physvio,sexvio,sexphys,typevio,physcur,sexcur,emotcur,sexphcur,npsexvio,npsexviocur,npatmpsexvio,npatmpsexcur,nptouching,nptouchingcur,npsexabuse,npsexabusecur,w_religion,earlymarriage,justify,CONTROLLING,CONTROL,CONTROLNUM,anyIPV,diffage,sumdiffage,p_employ,EP3,ageyr5,ageyr10,EM,sQ601a,sQ601b,sQ601c,sQ601d,sQ601e,sQ601f,tQ602a,tQ602b,tQ602c,tQ602d,sQ607a,sQ607b,sQ607c,sQ607d,sQ607e,EP2,FCMAR,edresp,employstatus,SourceIncome,ETHNICITY,Fam_support,mcv1006,mcv1006a,mcv1006b,Q501R,agepartner,edpart,men_alcohol_all,mcv1008,mcv1009,Q513R,Q515R,Q516R,Q702,Q702R,eQ703a,eQ703b,eQ703c,eQ703d,eQ703e,eQ703f,eQ703g,eQ703h,country,weighing,rQ701a,rQ701b,rQ701c,rQ701d,HighIncome,Island,Governance,HDI,LAWDV,Governance1,HDI1,LAWDV1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7,3,1,1,8,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,4,3,1,1,0,0,0,60,5,3,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,.987248405882353,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,1,1,2,1,2,6,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,4,5,0,1,1,1,45,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,.346792253480392,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,4,3,0,4,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,4,2,4,1,1,1,1,32,2,3,0,0,1,1,1,1,3,3,1,1,1,1,1,0,0,1,1,.419256079754902,0,0,0,0,0,0,.16,.654,37,0,0,0
1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,3,1,2,2,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,4,4,1,0,0,0,25,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,.505973049019608,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,4,0,1,10,5,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,2,4,4,0,1,0,0,74,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.074996949754902,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,4,1,1,9,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0,1,0,0,68,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.63244718627451,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1,1,1,1,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,5,1,0,0,1,37,3,3,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1.35634810441176,1,1,1,0,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,2,7,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,1,1,1,1,55,5,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1.11335792745098,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,1,4,10,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,4,2,6,1,0,0,0,68,6,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.305590010098039,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,6,3,1,4,3,1,2,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,4,5,0,1,0,0,22,1,2,0,0,0,0,0,0,2,2,1,0,1,1,1,1,0,1,1,.0615900124019608,0,1,1,1,0,0,.16,.654,37,0,0,0
