,CONTROLNUM_0,CONTROLNUM_2,CONTROLNUM_3,Fam_support,Q513R,Q515R,Q702R_1,Q702R_3,ageyr10_1,earlymarriage_1,edpart_3,mcv1006,mcv1006a,mcv1006b,mcv1008,mcv1009,men_alcohol_all,sumdiffage_1
800,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0
91,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
587,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
699,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
414,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1023,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
698,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
158,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
1015,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1290,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1100,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
958,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1111,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1047,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0
1349,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
804,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
892,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
887,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
138,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
327,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
1365,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
203,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
134,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1377,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1370,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
1247,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
169,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1
909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
830,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
935,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1258,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
559,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1
1145,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1043,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
1072,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
709,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
350,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0
550,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0
1241,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1287,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
324,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
354,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
135,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1054,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1135,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
368,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
445,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1000,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
